State/UT,1991,1995,2000,2005,2010
Andhra Pradesh,61.8,62.6,62.3,63.4,66.3
Assam,55.7,57.2,58.2,60.5,62.7
Bihar,59.3,59.6,64.3,64.9,67.8
Chhattisgarh,59.1,58.1,61.3,62.9,63.3
Delhi,65.3,66.5,68.4,70.2,72.0
Gujarat,61.0,62.4,63.7,64.4,66.6
Haryana,63.4,64.4,64.6,65.1,66.3
Himachal Pradesh,65,65.2,67.3,67.7,69.3
Jammu and Kashmir,62.1,63.9,65.9,68.9,70.9
Jharkhand,67,65.2,65.3,66,66.2
Karnataka,62.5,63.7,63.3,64.6,66.9
Kerala,72.9,73.3,70.3,71.3,72.0
Madhya Pradesh,54.7,55.9,58.6,60.8,62.5
Maharashtra,64.8,65.6,65.8,67.6,69.9
Odisha,56.5,57.5,59.3,61.7,64.7
Punjab,67.2,67.9,67.2,67.2,69.7
Rajasthan,59.1,59.9,62.6,64.7,65.5
Tamil Nadu,63.3,64.5,65.3,66.9,68.6
Uttar Pradesh,56.8,57.9,60.4,61.6,62.9
Uttrakhand,66.7,66.9,68,68.5,69.1
West Bengal,62.1,63.2,65.3,66.9,68.9
ALL INDIA,60.3,62.6,62.8,64.3,66.4
